RID,NCBI_GeneID,NCBI_Symbol,count,rank,Group,Specimen,Probe,Antibody_Test,Allele,Anchor_Gene,Marker_Gene,Mouse_Strain
Q-5FBE,71041,Pcgf6,3,1344,Dataset,3,3,0,0,0,0,0
Q-5FC0,71063,Zfp597,3,1345,Chaise,3,3,0,0,0,0,0
Q-5FER,71131,Zfp689,3,1346,SSR,3,3,0,0,0,0,0
Q-5FGC,71163,Zfp626,3,1347,Dataset,3,3,0,0,0,0,0
Q-5FSJ,71371,Arid5b,3,1348,Chaise,3,3,0,0,0,0,0
Q-5FYE,71529,Kazn,3,1349,SSR,3,3,0,0,0,0,0
Q-5G0A,71591,Zfp251,3,1350,Dataset,3,3,0,0,0,0,0
Q-5G8M,71801,Plekhf2,3,1351,Chaise,3,3,0,0,0,0,0
Q-5G98,71816,Rnf180,3,1352,SSR,3,3,0,0,0,0,0
Q-5GFG,71956,Rnf135,3,1353,Dataset,3,3,0,0,0,0,0
Q-5GGC,71978,Ppp2r2a,3,1354,Chaise,3,3,0,0,0,0,0
Q-5GK4,72043,Sulf2,3,1355,SSR,3,3,0,0,0,0,0
Q-5GR8,72169,Trim29,3,1356,Dataset,3,3,0,0,0,0,0
Q-5GZ2,72330,Klhl40,3,1357,Chaise,3,3,0,0,0,0,0
Q-5H1E,72399,Brap,3,1358,SSR,3,3,0,0,0,0,0
Q-5H6M,72585,Lypd1,3,1359,Dataset,3,3,0,0,0,0,0
Q-5H7G,72611,Zfp655,3,1360,Chaise,3,3,0,0,0,0,0
Q-5HE4,72843,Prdm4,3,1361,SSR,3,3,0,0,0,0,0
Q-5HRY,73181,Nfatc4,3,1362,Dataset,3,3,0,0,0,0,0
Q-5JFY,73754,Thap1,3,1363,Chaise,3,3,0,0,0,0,0
Q-5JKT,73854,4930428B01Rik,3,1364,SSR,3,3,0,0,0,0,0
Q-5JTJ,74007,Btbd11,3,1365,Dataset,3,3,0,0,0,0,0
Q-5K0C,74132,Rnf6,3,1366,Chaise,3,3,0,0,0,0,0
Q-5K6E,74255,Smu1,3,1367,SSR,3,3,0,0,0,0,0
Q-5K96,74315,Rnf145,3,1368,Dataset,3,3,0,0,0,0,0
Q-5KAP,74352,Zfp84,3,1369,Chaise,3,3,0,0,0,0,0
Q-5KKY,74561,Nkx6-3,3,1370,SSR,3,3,0,0,0,0,0
Q-5M8J,75079,Zbtb49,3,1371,Dataset,3,3,0,0,0,0,0
Q-5MEG,75212,Rnf121,3,1372,Chaise,3,3,0,0,0,0,0
Q-5MJ6,75291,Zbtb3,3,1373,SSR,3,3,0,0,0,0,0
